datetime_ist,epoch,open,high,low,close,volume
2017-07-03 09:15:00,1499053500,426,426.98,418.53,419.05,319098
2017-07-03 10:15:00,1499057100,419.08,419.75,417.2,419.05,349394
2017-07-03 11:15:00,1499060700,419,420.48,418.73,419.35,770258
2017-07-03 12:15:00,1499064300,419.35,419.68,416.38,416.93,866684
2017-07-03 13:15:00,1499067900,416.93,417.65,416.15,417.5,410680
2017-07-03 14:15:00,1499071500,417.5,419.4,417.5,418.53,818002
2017-07-03 15:15:00,1499075100,418.5,420.2,418.45,419.9,415246
2017-07-04 09:15:00,1499139900,424.3,424.88,419,419.38,636324
2017-07-04 10:15:00,1499143500,419.38,421.45,419.08,420.88,282436
2017-07-04 11:15:00,1499147100,420.88,421.33,419.73,420.03,305222
2017-07-04 12:15:00,1499150700,420.03,422.33,419.98,422.13,158082
2017-07-04 13:15:00,1499154300,422.13,422.75,420.75,422.18,139056
2017-07-04 14:15:00,1499157900,422.15,422.25,420.4,420.4,202258
2017-07-04 15:15:00,1499161500,420.4,421.45,420,420,195644
2017-07-05 09:15:00,1499226300,418.5,420.6,418.38,418.9,586296
2017-07-05 10:15:00,1499229900,418.88,420.03,418.63,419.95,273840
2017-07-05 11:15:00,1499233500,419.95,420.43,419.5,419.83,267620
2017-07-05 12:15:00,1499237100,419.58,420.18,419.38,419.68,265136
2017-07-05 13:15:00,1499240700,419.73,420.13,417.78,417.95,394754
2017-07-05 14:15:00,1499244300,418,418.8,417.55,418.6,404724
2017-07-05 15:15:00,1499247900,418.6,419.15,418.4,419,226036
2017-07-06 09:15:00,1499312700,420,421.2,417.85,420.5,302186
2017-07-06 10:15:00,1499316300,420.48,421.2,418.55,418.95,118572
2017-07-06 11:15:00,1499319900,418.95,419.1,418.4,418.75,135632
2017-07-06 12:15:00,1499323500,418.75,419.93,418.6,419.9,143056
2017-07-06 13:15:00,1499327100,419.9,420.7,419.53,420.63,195078
2017-07-06 14:15:00,1499330700,420.63,420.65,419.83,420.43,271270
2017-07-06 15:15:00,1499334300,420.43,420.75,419.05,420.28,204826
2017-07-07 09:15:00,1499399100,420.25,420.25,417.55,417.88,166918
2017-07-07 10:15:00,1499402700,417.9,418.45,415.45,416.85,262996
2017-07-07 11:15:00,1499406300,417,417,415.5,416.13,180590
2017-07-07 12:15:00,1499409900,416.13,416.65,414.68,415,245668
2017-07-07 13:15:00,1499413500,415,417,414.8,416.55,911340
2017-07-07 14:15:00,1499417100,416.65,416.95,415.53,416.03,327876
2017-07-07 15:15:00,1499420700,415.88,416.13,415.75,416,207006
2017-07-10 09:15:00,1499658300,417.5,421.2,415.05,418.98,73864
2017-07-10 11:15:00,1499665500,416.35,419.5,416.35,418.98,0
2017-07-10 12:15:00,1499669100,418.98,421.95,418.98,420.63,8589962028
2017-07-10 13:15:00,1499672700,416,425.5,416,424,8589969044
2017-07-10 14:15:00,1499676300,424,426.9,423.63,424.03,190620
2017-07-10 15:15:00,1499679900,423.93,425.3,423.93,424.28,63510
2017-07-11 09:15:00,1499744700,428.3,434.5,425.28,431.6,1003816
2017-07-11 10:15:00,1499748300,431.5,432.13,426.78,427.58,585190
2017-07-11 11:15:00,1499751900,427.58,430.6,427.33,429.95,293114
2017-07-11 12:15:00,1499755500,429.95,430.25,429.28,429.8,240998
2017-07-11 13:15:00,1499759100,429.8,429.9,426.83,427.88,304792
2017-07-11 14:15:00,1499762700,427.9,428.63,424.85,425.68,368070
2017-07-11 15:15:00,1499766300,425.75,426,424.75,425,192472
2017-07-12 09:15:00,1499831100,425,427,423.05,424.7,168916
2017-07-12 10:15:00,1499834700,424.7,425.53,423.9,425,133158
2017-07-12 11:15:00,1499838300,425,425.55,424.43,425.5,68714
2017-07-12 12:15:00,1499841900,425.5,426.78,425.25,425.9,136096
2017-07-12 13:15:00,1499845500,425.93,425.93,424.43,425.15,197882
2017-07-12 14:15:00,1499849100,425,426.7,424.4,426.7,341306
2017-07-12 15:15:00,1499852700,426.68,429.1,426.68,428.03,159280
2017-07-13 09:15:00,1499917500,428.25,431.95,428.25,430,395584
2017-07-13 10:15:00,1499921100,429.98,431,429.63,430.65,202760
2017-07-13 11:15:00,1499924700,430.7,430.88,429.58,429.95,228084
2017-07-13 12:15:00,1499928300,429.95,430.35,429.33,429.83,373652
2017-07-13 13:15:00,1499931900,429.83,431.88,429.6,430.58,274036
2017-07-13 14:15:00,1499935500,430.68,431.28,428.05,429.95,297858
2017-07-13 15:15:00,1499939100,429.95,430,427.78,429.75,133688
2017-07-14 09:15:00,1500003900,429.78,430.2,423.55,424.93,292736
2017-07-14 10:15:00,1500007500,424.93,425.88,424.3,425.03,126048
2017-07-14 11:15:00,1500011100,425.03,425.18,423.6,425.05,108088
2017-07-14 12:15:00,1500014700,425.05,425.05,423.15,423.4,110798
2017-07-14 13:15:00,1500018300,423.4,424.88,422.53,424.48,181304
2017-07-14 14:15:00,1500021900,424.48,426.48,424,425,326646
2017-07-14 15:15:00,1500025500,425,425.88,424.68,425,137548
2017-07-17 09:15:00,1500263100,423.03,431.65,422.65,430.68,328792
2017-07-17 10:15:00,1500266700,430.48,431.1,429,429.93,156930
2017-07-17 11:15:00,1500270300,429.93,430.2,429.25,430.2,155666
2017-07-17 12:15:00,1500273900,430.03,431.15,429.9,430.88,187234
2017-07-17 13:15:00,1500277500,430.88,432.45,430.35,432.3,236388
2017-07-17 14:15:00,1500281100,432.3,434.35,431.98,433.8,527652
2017-07-17 15:15:00,1500284700,433.8,435,433.75,434.48,218122
2017-07-18 09:15:00,1500349500,434.55,439.98,434.18,438,558268
2017-07-18 10:15:00,1500353100,438,440,436.88,437.93,260480
2017-07-18 11:15:00,1500356700,437.93,438.73,436.13,438.5,173478
2017-07-18 12:15:00,1500360300,438.5,438.55,436.5,437.35,188844
2017-07-18 13:15:00,1500363900,437.35,441.83,436.85,440.98,259548
2017-07-18 14:15:00,1500367500,441,441.5,437.6,439.58,307424
2017-07-18 15:15:00,1500371100,439.6,442.15,439.6,440.13,227062
2017-07-19 09:15:00,1500435900,442.5,449.75,442.5,446.8,954496
2017-07-19 10:15:00,1500439500,446.8,448.18,445.58,446.15,261774
2017-07-19 11:15:00,1500443100,446.15,446.95,445.53,446.58,163016
2017-07-19 12:15:00,1500446700,446.58,447.6,445.05,445.68,451826
2017-07-19 13:15:00,1500450300,445.5,445.93,443.63,445.75,304728
2017-07-19 14:15:00,1500453900,445.85,447.8,445.05,447.55,553678
2017-07-19 15:15:00,1500457500,447.55,449.48,447.5,449.35,215200
2017-07-20 09:15:00,1500522300,447.48,447.48,444.13,444.45,433326
2017-07-20 10:15:00,1500525900,444.45,445.18,444.03,444.65,139226
