datetime_ist,epoch,open,high,low,close,volume
2017-09-18 09:15:00,1505706300,545,589.59,545,589.59,13344625
2017-09-18 10:15:00,1505709900,589.67,599.46,576,583.97,5964735
2017-09-18 11:15:00,1505713500,584,585,578.6,583.4,863090
2017-09-18 12:15:00,1505717100,583.4,593.88,583.34,592.49,1571020
2017-09-18 13:15:00,1505720700,592.73,604.6,590.26,603.87,2793115
2017-09-18 14:15:00,1505724300,603.7,603.7,565.4,581.96,4713985
2017-09-18 15:15:00,1505727900,581.72,583.8,576.4,580.24,839315
2017-09-19 09:15:00,1505792700,590,598.99,586.4,593.93,1714890
2017-09-19 10:15:00,1505796300,593.63,594.44,590.62,591.54,239305
2017-09-19 11:15:00,1505799900,591.41,595,589.59,592.4,256400
2017-09-19 12:15:00,1505803500,592.17,592.99,590.8,591,118415
2017-09-19 13:15:00,1505807100,591,591.52,583.7,586,428205
2017-09-19 14:15:00,1505810700,586,586.01,574.48,577.65,871275
2017-09-19 15:15:00,1505814300,577.65,579.38,577.65,578.82,305305
2017-09-20 09:15:00,1505879100,576.09,576.4,553.61,556.41,980420
2017-09-20 10:15:00,1505882700,556.41,564.79,551,563.55,657740
2017-09-20 11:15:00,1505886300,563.55,563.76,558.01,560.62,177285
2017-09-20 12:15:00,1505889900,560.62,564.6,560,561.2,122100
2017-09-20 13:15:00,1505893500,561.58,567.2,560,563.2,203495
2017-09-20 14:15:00,1505897100,563.2,563.98,559.01,562,194685
2017-09-20 15:15:00,1505900700,562,563.6,560.02,560.3,169125
2017-09-21 09:15:00,1505965500,557.78,558.6,550.62,552.2,376790
2017-09-21 10:15:00,1505969100,552.02,554.2,536.8,544.2,531690
2017-09-21 11:15:00,1505972700,544.2,548,543.4,546.98,152710
2017-09-21 12:15:00,1505976300,546.98,546.99,542.53,544.49,70655
2017-09-21 13:15:00,1505979900,544.49,551.8,544.09,546.8,116930
2017-09-21 14:15:00,1505983500,546.8,552.98,546.72,550.2,216175
2017-09-21 15:15:00,1505987100,550.2,556.2,550,553.6,132455
2017-09-22 09:15:00,1506051900,555,556.21,539.23,540.8,334235
2017-09-22 10:15:00,1506055500,540.8,545.98,540,543.6,102245
2017-09-22 11:15:00,1506059100,543.6,543.98,542.01,543.98,36745
2017-09-22 12:15:00,1506062700,543.98,544.16,542.2,543.1,39265
2017-09-22 13:15:00,1506066300,543.1,543.59,541,541.6,55605
2017-09-22 14:15:00,1506069900,541.6,541.9,534.2,535,216260
2017-09-22 15:15:00,1506073500,535,535,527.2,528.2,146345
2017-09-25 09:15:00,1506311100,524,529.89,501.58,504.45,490510
2017-09-25 10:15:00,1506314700,504.45,513,503,507.99,190410
2017-09-25 11:15:00,1506318300,507.99,516,507.28,514.48,196460
2017-09-25 12:15:00,1506321900,514.48,517,512,514,90865
2017-09-25 13:15:00,1506325500,514,514.1,510,512.2,53705
2017-09-25 14:15:00,1506329100,512.2,540,512,522.8,554675
2017-09-25 15:15:00,1506332700,522.4,524.36,520.4,523.8,81160
2017-09-26 09:15:00,1506397500,523.54,532.6,523.54,527.8,174780
2017-09-26 10:15:00,1506401100,527.8,531.08,527,529.4,42255
2017-09-26 11:15:00,1506404700,529.4,535.8,528.4,530.4,77290
2017-09-26 12:15:00,1506408300,530.4,530.8,528.41,528.6,26775
