datetime_ist,epoch,open,high,low,close,volume
2017-07-03 09:15:00,1499053500,1063.05,1065,1059,1060.95,169856
2017-07-03 10:15:00,1499057100,1060.95,1062,1059.35,1060.5,271646
2017-07-03 11:15:00,1499060700,1060.5,1060.5,1055,1060.15,86274
2017-07-03 12:15:00,1499064300,1060,1060.5,1058.05,1059.8,159203
2017-07-03 13:15:00,1499067900,1059.7,1060,1055.5,1056.45,67773
2017-07-03 14:15:00,1499071500,1056.25,1058.5,1054.1,1055.1,109667
2017-07-03 15:15:00,1499075100,1055.2,1055.4,1052,1053,135882
2017-07-04 09:15:00,1499139900,1059.8,1061,1054.45,1055.95,108541
2017-07-04 10:15:00,1499143500,1055.95,1056,1045.25,1048.25,154982
2017-07-04 11:15:00,1499147100,1048.65,1054,1048.5,1052.15,84218
2017-07-04 12:15:00,1499150700,1052.15,1052.5,1049,1050.8,164853
2017-07-04 13:15:00,1499154300,1050.8,1054.8,1050.5,1052.6,250617
2017-07-04 14:15:00,1499157900,1052.6,1052.9,1045,1045,140896
2017-07-04 15:15:00,1499161500,1045,1045,1040,1042,145950
2017-07-05 09:15:00,1499226300,1041.75,1051,1039,1041,475405
2017-07-05 10:15:00,1499229900,1041.05,1042.4,1036.7,1039.15,274971
2017-07-05 11:15:00,1499233500,1039.35,1053.85,1038.1,1052.4,698282
2017-07-05 12:15:00,1499237100,1052.15,1085.05,1049.45,1079.7,1228713
2017-07-05 13:15:00,1499240700,1079.8,1096,1078.35,1082.15,1154507
2017-07-05 14:15:00,1499244300,1082.4,1089.2,1080.6,1085.2,769925
2017-07-05 15:15:00,1499247900,1085.4,1086.3,1081.2,1084.2,543097
2017-07-06 09:15:00,1499312700,1094.25,1108.7,1086.05,1099,836070
2017-07-06 10:15:00,1499316300,1099,1099.6,1089.4,1095.65,310835
2017-07-06 11:15:00,1499319900,1095.5,1095.85,1091.5,1092,133842
2017-07-06 12:15:00,1499323500,1092,1093,1089,1089.8,259640
2017-07-06 13:15:00,1499327100,1090,1093.5,1088.5,1089.75,144558
2017-07-06 14:15:00,1499330700,1089.65,1092,1080,1080.3,392142
2017-07-06 15:15:00,1499334300,1080.55,1082.5,1077.5,1081.9,253380
2017-07-07 09:15:00,1499399100,1083.1,1128.35,1083.1,1126.85,1702346
2017-07-07 10:15:00,1499402700,1126.8,1132.75,1123.4,1130.45,783820
2017-07-07 11:15:00,1499406300,1130.45,1132.45,1126.5,1129.9,321655
2017-07-07 12:15:00,1499409900,1129.9,1137,1128,1129.95,529147
2017-07-07 13:15:00,1499413500,1129.95,1131.4,1124,1127.3,374479
2017-07-07 14:15:00,1499417100,1127.5,1128.9,1112.05,1117.5,873142
2017-07-07 15:15:00,1499420700,1117.35,1122.25,1115.35,1120,397448
2017-07-10 10:15:00,1499661900,1130,1134.4,1130,1134.4,8589935459
2017-07-10 11:15:00,1499665500,1136,1148,1130,1140.05,4294972162
2017-07-10 12:15:00,1499669100,1130,1170,1130,1148,4295060316
2017-07-10 13:15:00,1499672700,1148,1156,1120,1152,4295118119
2017-07-10 14:15:00,1499676300,1152,1153,1145.65,1150.7,204291
2017-07-10 15:15:00,1499679900,1150.7,1151.65,1147,1150,55630
2017-07-11 09:15:00,1499744700,1158.85,1166.75,1151,1151,520394
2017-07-11 10:15:00,1499748300,1151,1156.45,1149.05,1151,186335
2017-07-11 11:15:00,1499751900,1151,1153,1149.85,1150.05,290560
2017-07-11 12:15:00,1499755500,1150,1158.9,1149.65,1152.3,235888
2017-07-11 13:15:00,1499759100,1152.3,1155.65,1149.2,1150.7,139389
2017-07-11 14:15:00,1499762700,1151.25,1151.9,1138,1139.25,366539
2017-07-11 15:15:00,1499766300,1139.4,1140.4,1136.6,1140,172361
2017-07-12 09:15:00,1499831100,1146,1152.35,1136.75,1140.1,321027
2017-07-12 10:15:00,1499834700,1140.5,1143.95,1140,1141.05,92190
2017-07-12 11:15:00,1499838300,1141.05,1143.7,1140.35,1142.5,66003
2017-07-12 12:15:00,1499841900,1142.5,1143.5,1142,1142.25,42794
2017-07-12 13:15:00,1499845500,1142.25,1143,1138.5,1139,68158
2017-07-12 14:15:00,1499849100,1139,1142,1138.8,1141,95758
2017-07-12 15:15:00,1499852700,1141,1142.45,1139.7,1142,81150
2017-07-13 09:15:00,1499917500,1144.2,1152,1142.5,1149.15,163515
2017-07-13 10:15:00,1499921100,1149.15,1149.55,1142.5,1143.05,84761
2017-07-13 11:15:00,1499924700,1143.05,1145,1140,1141.55,72748
2017-07-13 12:15:00,1499928300,1141.5,1145.5,1138.5,1142,108466
2017-07-13 13:15:00,1499931900,1142,1145,1141.2,1142.55,61979
2017-07-13 14:15:00,1499935500,1143.15,1143.95,1140,1141.4,500779
2017-07-13 15:15:00,1499939100,1141.75,1143.5,1139,1139,251850
2017-07-14 09:15:00,1500003900,1144,1156,1136.55,1146.4,291666
2017-07-14 10:15:00,1500007500,1146.35,1149.2,1140,1145.2,118240
2017-07-14 11:15:00,1500011100,1145,1148,1141.95,1142,56898
2017-07-14 12:15:00,1500014700,1142,1143.9,1140.5,1142.9,47021
2017-07-14 13:15:00,1500018300,1142.9,1143.6,1137,1137,79827
2017-07-14 14:15:00,1500021900,1137,1140,1136,1138.05,143970
2017-07-14 15:15:00,1500025500,1138.05,1142,1137.95,1140,117587
2017-07-17 09:15:00,1500263100,1144.5,1149.25,1140.5,1141.7,111287
2017-07-17 10:15:00,1500266700,1141.65,1145,1137.85,1143.35,53283
2017-07-17 11:15:00,1500270300,1143.35,1144.4,1137,1138,35089
2017-07-17 12:15:00,1500273900,1138,1144.5,1138,1142.7,56582
2017-07-17 13:15:00,1500277500,1142.7,1145,1141.6,1144.7,76844
2017-07-17 14:15:00,1500281100,1144.7,1145,1139.55,1144.95,86941
2017-07-17 15:15:00,1500284700,1144.9,1150.4,1144.75,1148.35,96793
2017-07-18 09:15:00,1500349500,1148,1164.6,1147.35,1156.35,247309
2017-07-18 10:15:00,1500353100,1156.95,1160,1155,1158.7,115480
2017-07-18 11:15:00,1500356700,1158.5,1159.5,1156.05,1158.95,84186
2017-07-18 12:15:00,1500360300,1159,1159.5,1155,1157.2,297352
2017-07-18 13:15:00,1500363900,1157.2,1162,1155.45,1155.7,132422
2017-07-18 14:15:00,1500367500,1155.5,1157.6,1152,1156.05,132948
2017-07-18 15:15:00,1500371100,1156.1,1160,1154.65,1159.4,62834
2017-07-19 09:15:00,1500435900,1165,1176.75,1165,1169.55,222785
2017-07-19 10:15:00,1500439500,1170,1173.4,1164.2,1170.3,122979
2017-07-19 11:15:00,1500443100,1170.3,1173.5,1168.2,1171.95,56023
2017-07-19 12:15:00,1500446700,1171.95,1172.5,1169.85,1171.35,44005
2017-07-19 13:15:00,1500450300,1171.35,1173.9,1168.5,1170.5,78876
2017-07-19 14:15:00,1500453900,1170.5,1173,1170,1171.9,164237
2017-07-19 15:15:00,1500457500,1171.9,1173.9,1170.55,1172.8,103634
2017-07-20 09:15:00,1500522300,1172,1172,1162.55,1165.1,79241
2017-07-20 10:15:00,1500525900,1165.1,1175.95,1163.6,1174,46493
2017-07-20 11:15:00,1500529500,1174.5,1175,1169.9,1170.55,43706
2017-07-20 12:15:00,1500533100,1170.55,1170.75,1166,1167.7,100740
2017-07-20 13:15:00,1500536700,1167.7,1171,1163,1166,33032
2017-07-20 14:15:00,1500540300,1166,1169.85,1162.6,1166.55,58214
2017-07-20 15:15:00,1500543900,1166.6,1170.8,1165.1,1168.2,44084
2017-07-21 09:15:00,1500608700,1155,1156.75,1132.6,1142.35,297555
2017-07-21 10:15:00,1500612300,1141.95,1142.95,1135,1140.05,162997
2017-07-21 11:15:00,1500615900,1140.05,1140.5,1137.1,1138.25,217342
2017-07-21 12:15:00,1500619500,1138.3,1139.3,1134.3,1135.2,111912
2017-07-21 13:15:00,1500623100,1135,1143.25,1134.7,1139.6,202597
2017-07-21 14:15:00,1500626700,1139.5,1146.25,1139.45,1146,264955
2017-07-21 15:15:00,1500630300,1146,1146.95,1139.35,1142.45,179123
2017-07-24 09:15:00,1500867900,1167.5,1174.8,1145.1,1147.45,574208
2017-07-24 10:15:00,1500871500,1147.45,1153.7,1143.55,1153,171814
2017-07-24 11:15:00,1500875100,1153,1153,1147.8,1150,59873
2017-07-24 12:15:00,1500878700,1150.2,1151.6,1145.9,1149.15,103404
2017-07-24 13:15:00,1500882300,1149.15,1149.65,1143.8,1145.65,103484
2017-07-24 14:15:00,1500885900,1145.65,1152.85,1141,1143.8,338767
2017-07-24 15:15:00,1500889500,1143.9,1144.15,1138.05,1140,188703
2017-07-25 09:15:00,1500954300,1141.1,1141.65,1130.4,1133.95,183453
2017-07-25 10:15:00,1500957900,1133.95,1136,1133,1134.35,111183
2017-07-25 11:15:00,1500961500,1134.35,1135,1125.55,1126.4,394061
2017-07-25 12:15:00,1500965100,1126.4,1128.55,1114.2,1118.7,255954
2017-07-25 13:15:00,1500968700,1118.7,1122.7,1115.05,1121.25,285285
2017-07-25 14:15:00,1500972300,1121.25,1124.6,1119.2,1120.05,308511
2017-07-25 15:15:00,1500975900,1120.1,1123.5,1118.1,1121.45,214508
2017-07-26 09:15:00,1501040700,1124,1128.65,1121,1121.1,180179
2017-07-26 10:15:00,1501044300,1121,1125.3,1116,1123,147863
2017-07-26 11:15:00,1501047900,1123,1124.95,1121.1,1123,118890
2017-07-26 12:15:00,1501051500,1123.6,1125,1121.55,1123.35,105666
2017-07-26 13:15:00,1501055100,1123.35,1127,1121.3,1125.5,225169
2017-07-26 14:15:00,1501058700,1125.5,1126,1121.45,1123.05,239176
2017-07-26 15:15:00,1501062300,1122.75,1127,1122.25,1125,95529
2017-07-27 09:15:00,1501127100,1132.2,1132.2,1122.35,1126.25,105605
2017-07-27 10:15:00,1501130700,1126.25,1129.5,1125,1128.15,74241
2017-07-27 11:15:00,1501134300,1128.15,1129,1118.9,1123.1,91462
2017-07-27 12:15:00,1501137900,1123.1,1124.5,1119,1121.5,69813
2017-07-27 13:15:00,1501141500,1121.4,1123.95,1119.3,1122.95,124299
2017-07-27 14:15:00,1501145100,1123,1123.9,1105.6,1108.7,677915
2017-07-27 15:15:00,1501148700,1107.85,1115,1105.15,1113,478504
2017-07-28 09:15:00,1501213500,1110.35,1110.95,1074.45,1084.45,516055
2017-07-28 10:15:00,1501217100,1084.45,1085,1057.75,1066.5,597118
2017-07-28 11:15:00,1501220700,1066.55,1071.95,1064,1067.85,221737
2017-07-28 12:15:00,1501224300,1067.85,1070,1062.2,1064.2,215174
2017-07-28 13:15:00,1501227900,1064.25,1068,1062,1064.6,202890
2017-07-28 14:15:00,1501231500,1064.85,1065,1055.4,1063.15,350647
2017-07-28 15:15:00,1501235100,1063.1,1066.5,1062.95,1066.5,215679
2017-07-31 09:15:00,1501472700,1087.8,1087.8,1042.7,1047.55,1082177
2017-07-31 10:15:00,1501476300,1047.6,1051.95,1045.15,1045.9,580399
2017-07-31 11:15:00,1501479900,1045.9,1048.3,1039,1040,587206
2017-07-31 12:15:00,1501483500,1039.6,1045.5,1038.6,1040,416389
2017-07-31 13:15:00,1501487100,1040,1052.85,1037.1,1039.9,784850
2017-07-31 14:15:00,1501490700,1040,1040.15,1030.2,1033.95,842244
2017-07-31 15:15:00,1501494300,1033.95,1033.95,1030,1031,387251
2017-08-01 09:15:00,1501559100,1038,1038.7,1018.8,1036.5,1046007
2017-08-01 10:15:00,1501562700,1036.45,1037.8,1026,1029,387796
2017-08-01 11:15:00,1501566300,1029,1031.45,1028.1,1030.2,250956
2017-08-01 12:15:00,1501569900,1030.2,1030.35,1021,1021.2,189982
2017-08-01 13:15:00,1501573500,1021.05,1024,1021.05,1023.5,145972
2017-08-01 14:15:00,1501577100,1023.5,1024.45,1016.65,1018,394950
2017-08-01 15:15:00,1501580700,1017.95,1019.5,1016.3,1019,238971
2017-08-02 09:15:00,1501645500,1028,1035.9,1022.05,1032.9,858104
2017-08-02 10:15:00,1501649100,1032.9,1033.95,1030,1032.6,187166
2017-08-02 11:15:00,1501652700,1032.7,1050,1032.05,1041,1123767
2017-08-02 12:15:00,1501656300,1041,1046.85,1039,1043.05,345457
2017-08-02 13:15:00,1501659900,1043.05,1055,1030.15,1035.55,2597515
2017-08-02 14:15:00,1501663500,1035.55,1036.45,1021,1033.85,1853730
2017-08-02 15:15:00,1501667100,1034.2,1042,1032.35,1033.05,651780
2017-08-03 09:15:00,1501731900,1031.1,1057.75,1025.5,1050.3,1119001
