datetime_ist,epoch,open,high,low,close,volume
2023-08-21 09:15:00,1692589500,262,262.05,248.9,248.9,64653107
2023-08-25 09:15:00,1692935100,202.8,224.1,202.8,216.05,154947156
2023-08-25 10:15:00,1692938700,218.3,219,208,214.4,23209786
2023-08-25 11:15:00,1692942300,213.05,224,212,223.1,26107427
2023-08-25 12:15:00,1692945900,223.05,223.1,218.95,222.05,8273410
2023-08-25 13:15:00,1692949500,222.1,222.45,215.6,216.8,7366609
2023-08-25 14:15:00,1692953100,216.55,219,211.4,213,10363880
2023-08-25 15:15:00,1692956700,213.05,221.9,213.05,221.6,3366968
2023-08-28 09:15:00,1693194300,213.35,221,211.05,218.95,22781484
2023-08-28 10:15:00,1693197900,219.45,222.25,219,219.95,8733512
2023-08-28 11:15:00,1693201500,219.95,220,216,218.1,7052632
2023-08-28 12:15:00,1693205100,218.1,219.9,217.9,218.75,6536569
2023-08-28 13:15:00,1693208700,218.7,222,218.5,220,8926159
2023-08-28 14:15:00,1693212300,220.05,220.05,209.5,209.5,20306196
2023-08-28 15:15:00,1693215900,209.5,210.9,207.55,210.35,10808652
2023-08-29 09:15:00,1693280700,212,215.8,207.25,215,47938643
2023-08-29 10:15:00,1693284300,215.2,218.45,214,218,9377961
2023-08-29 11:15:00,1693287900,217.95,218.2,215,216,9047865
2023-08-29 12:15:00,1693291500,215.95,219.1,215.8,219.05,4691025
2023-08-29 13:15:00,1693295100,219.1,219.1,215,215.75,5529664
2023-08-29 14:15:00,1693298700,215.85,219.7,215,219.7,7193310
2023-08-29 15:15:00,1693302300,219.7,221.7,219.4,221.7,8427197
2023-08-30 09:15:00,1693367100,224.9,231.25,224.7,231.25,15456686
2023-08-31 09:15:00,1693453500,241.7,242.8,234.3,234.95,28609745
2023-08-31 10:15:00,1693457100,234.7,242.8,234.6,242.8,11864666
2023-08-31 13:15:00,1693467900,242.8,242.8,240,242,5923736
2023-08-31 14:15:00,1693471500,242,242.8,231.15,232.55,41651342
2023-08-31 15:15:00,1693475100,232.55,241,231.6,240,30075440
2023-09-01 09:15:00,1693539900,235,243.8,234.2,239.9,16029202
2023-09-01 10:15:00,1693543500,239.9,241.2,239.8,241.2,4798986
2023-09-01 11:15:00,1693547100,241.2,244.4,240.6,244.3,6497703
2023-09-01 12:15:00,1693550700,244.25,244.45,242.95,244,4323709
2023-09-01 13:15:00,1693554300,244,245.15,244,245.15,5970507
2023-09-01 14:15:00,1693557900,245.15,245.15,245,245.15,1072954
2023-09-04 09:15:00,1693799100,255.3,258.7,249,255.7,30619176
2023-09-04 10:15:00,1693802700,255.7,266.95,253.6,263.3,25200656
2023-09-04 11:15:00,1693806300,263.2,263.5,256.25,259.9,13229088
2023-09-04 12:15:00,1693809900,259.95,260.85,256.35,256.75,6587192
2023-09-04 13:15:00,1693813500,256.75,258.1,251.7,253.6,9816135
2023-09-04 14:15:00,1693817100,253.55,255.6,250.8,253.4,8294140
2023-09-04 15:15:00,1693820700,253.45,254.85,253,254.8,3974122
2023-09-05 09:15:00,1693885500,257,260,253.6,259.3,12736965
2023-09-05 10:15:00,1693889100,259.25,259.5,255.8,259.2,6055649
2023-09-05 11:15:00,1693892700,259.15,259.2,256.95,256.95,4384419
2023-09-05 12:15:00,1693896300,256.9,257,253,256.5,7883787
2023-09-05 13:15:00,1693899900,256.45,257.45,255.55,256.05,4961693
2023-09-05 14:15:00,1693903500,256.05,256.5,254.6,254.95,6689529
2023-09-05 15:15:00,1693907100,255,255.9,253.8,255.3,3792092
2023-09-06 09:15:00,1693971900,247,251.9,247,249.85,18265089
2023-09-06 10:15:00,1693975500,250,254.3,248.95,251.9,9644385
2023-09-06 11:15:00,1693979100,251.8,254.05,250,250.6,5349440
2023-09-06 12:15:00,1693982700,250.5,251.7,250,250.9,2945161
2023-09-06 13:15:00,1693986300,250.9,251.95,250.15,250.55,3494289
2023-09-06 14:15:00,1693989900,250.6,259.8,246.05,254.7,104325131
2023-09-06 15:15:00,1693993500,254.45,256.1,250,253.7,79908862
2023-09-07 09:15:00,1694058300,252,256.4,252,254.4,13893007
2023-09-07 10:15:00,1694061900,254.35,256.3,253.65,256.25,6078603
